0	21.4687
1	39.5075
2	47.0156
3	107.597
4	219.367
5	17.0265
6	18.2706
7	17.3079
8	26.8702
9	19.0183
10	24.8139
11	18.6997
12	21.6756
13	20.8287
14	21.7351
15	21.6189
16	18.2476
17	18.6496
18	22.3036
19	22.9767
20	24.2332
21	14.368
22	22.4448
23	26.6323
24	26.6439
25	20.5583
26	15.9854
27	23.5013
28	19.74
29	18.8065
30	19.4699
31	21.2504
32	11.6366
33	11.6366
34	25.4308
35	22.148
36	22.148
37	35.1337
38	35.1337
39	25.7231
40	25.7231
41	25.7231
42	21.3663
43	22.0865
44	22.0865
45	22.0865
46	21.6289
47	21.6289
48	16.6864
49	12.4538
50	19.7482
51	27.2359
52	-18
53	19.2478
54	82.9691
55	114.912
56	101.434
57	140.709
58	7.24178
59	28.8796
60	38.9289
61	106.357
62	213.114
63	23.0558
