0	35.968	802.52
1	34.22	802.086
2	32.189	805.346
3	33.3	807.082
4	32.4839	805.15
5	37.049	811.102
6	38.874	805.314
7	36.434	803.738
8	34.927	806.384
9	36.304	803.978
10	31.875	798.417
11	34.714	809.715
12	39.491	803.917
13	36.375	803.667
14	31.887	805.903
15	32.493	801.777
16	35.842	808.947
17	33.517	807.744
18	34.593	800.608
19	34.796	804.192
20	36.754	804.04
21	36.413	807.329
22	38.554	804.691
23	36.54	801.679
24	37.3	805.273
25	35.636	802.124
26	34.997	807.946
27	43.395	811.951
28	37.476	801.065
29	36.557	803.147
30	33.317	804.097
31	35.104	801.852
32	36.6559	827.827
33	36.321	827.784
34	34.532	821.15
35	34.56	815.423
36	39.155	822.763
37	37.036	821.622
38	32.986	821.065
39	32.951	821.658
40	34.337	827.029
41	34.127	819.022
42	34.267	828.776
43	32.919	823.704
44	31.993	823.393
45	33.738	821.879
46	34.317	817.317
47	29.957	815.725
48	32.724	826.195
49	31.682	817.541
50	32.842	819.427
51	38.644	822.535
52	35.463	818.922
53	34.907	826.639
54	37.188	824.149
55	31.48	821.729
56	32.015	823.689
57	31.298	822.027
58	33.559	824.568
59	32.537	818.225
60	34.874	821.516
61	34.332	815.81
62	35.475	817.442
63	36.062	826.533
