0	0	794.112
0	1	831.753
1	0	787.057
1	1	821.931
2	0	785.682
2	1	820.121
3	0	790.922
3	1	825.673
4	0	783.084
4	1	818.088
5	0	790.116
5	1	824.968
6	0	788.045
6	1	822.827
7	0	793.75
7	1	829.371
8	0	784.048
8	1	819.618
9	0	787.053
9	1	823.024
10	0	791.005
10	1	826.928
11	0	789.074
11	1	824.347
12	0	784.99
12	1	820.595
13	0	789.988
13	1	825.993
14	0	788.227
14	1	823.084
15	0	787.373
15	1	821.659
16	0	790.195
16	1	823.207
17	0	795.086
17	1	829.576
18	0	801.939
18	1	837.477
19	0	799.819
19	1	833.972
20	0	794.409
20	1	828.971
21	0	787.884
21	1	822.119
22	0	790.544
22	1	826.156
23	0	790.103
23	1	825.486
24	0	788.478
24	1	823.272
25	0	790.458
25	1	825.805
26	0	794.009
26	1	829.001
27	0	789.425
27	1	824.976
28	0	790.5
28	1	825.328
29	0	790.175
29	1	826.709
30	0	794.22
30	1	830.109
31	0	786.593
31	1	824.355
32	0	828.689
32	1	864.241
33	0	822.808
33	1	858.392
34	0	817.228
34	1	852.471
35	0	824.709
35	1	859.888
36	0	822.47
36	1	857.945
37	0	815.997
37	1	850.878
38	0	824.885
38	1	860.884
39	0	819.017
39	1	854.097
40	0	822.177
40	1	856.638
41	0	826.421
41	1	861.011
42	0	825.381
42	1	859.787
43	0	829.715
43	1	863.788
44	0	823.61
44	1	857.076
45	0	816.253
45	1	850.651
46	0	818.127
46	1	853.474
47	0	820.497
47	1	855.597
48	0	832.563
48	1	865.222
49	0	825.072
49	1	857.557
50	0	822.213
50	1	856.096
51	0	818.654
51	1	851.405
52	0	823.066
52	1	856.062
53	0	820.374
53	1	853.963
54	0	827.414
54	1	861.603
55	0	823.878
55	1	857.299
56	0	834.039
56	1	867.827
57	0	818.799
57	1	852.38
58	0	821.68
58	1	856.444
59	0	820.395
59	1	859.856
60	0	829.457
60	1	864.88
61	0	826.089
61	1	859.917
62	0	824.474
62	1	858.543
63	0	817.983
63	1	852.756
